ASV	percent	length	taxid	accession	correction
ASV_7157	95.783	332	1010426	JF488773	317.99956
ASV_7158	99.697	330	88552	MK368269, MK368207, MK368029	329.0001
ASV_7159	99.085	328	1764645, 1764644, 1764643, 1764642	KT861000, KT860995, KT860994, KT860993	324.9988
ASV_716	98.784	329	3068899	OR427354	324.99936
ASV_7160	97.264	329	2592189, 143670, 2303294, 2303293, 2684370, 407301, 66473, 260577, 260576	MN121042, PQ645478, MH764679, MH764678, MN821569, JF791096, JF791029, AY434687, AY434686, AF022201	319.99856
ASV_7161	98.784	329	705413, 1760868, 1341612, 1798043, 1408142	MH732694, KY688183, HG005135, AB920349, AB698451, AB860180	324.99936
ASV_7162	89.79	333	151027	AF290540	299.0007
ASV_7163	100	323	35163, 159598	MF093954, AY617145, AY617140, L26203	323
ASV_7164	98.476	328	515474	AB430614	323.00128
ASV_7165	96.697	333	741090, 629762	GQ144681, FJ824128	322.00101
ASV_7166	91.818	330	1043734	HM536153	302.9994
ASV_7167	96.341	328	407301, 225107	JF791048, JF791046, JF791045, JF791044, JF791040, JF791035	315.99848
ASV_7168	95.706	326	2820079	MW775716	312.00156
ASV_7169	99.088	329	88552	MK368364	325.99952
ASV_717	98.182	330	77931, 575863	KY980217, KC928321, AJ421146	324.0006
ASV_7170	98.48	329	91992	KY980405	323.9992
ASV_7171	90.214	327	3061869	PP905717	294.99978
ASV_7172	96.353	329	88552	MK367913	317.00137
ASV_7173	94.19	327	1955561, 1276173, 1274397, 1276030, 1276066, 1273161, 1276039, 1155554, 37642, 293210, 37475	KX100595, OR361745, JQ967329, JQ967327, JQ967326, JQ967325, JQ967324, JQ967323, JN934668, EF432519, EF432518, AY651096, AF174376, AF109324, AF109323	308.0013
ASV_7174	95.758	330	66473	JF791029	316.0014
ASV_7175	95.468	331	151027	AF290540	315.99908
ASV_718	99.697	330	88552	MK681253, MK681249, MK681248	329.0001
ASV_7181	98.769	325	1434982	KU525746	320.99925
ASV_7186	97.576	330	2805730	MW521836	322.0008
ASV_7189	99.094	331	2912989	OM403114	328.00114
ASV_719	91.892	333	2805718	MW521824	306.00036
ASV_7190	99.697	330	1973198, 1973197, 1936265	KY852273, KY852272, KY852271, KY852270, KX229687	329.0001
ASV_7193	98.788	330	88552	MK368341, MK368340, MK368327, MK367912	326.0004
ASV_7196	90.52	327	1932427, 1563420	MN065157, KM213082	296.0004
ASV_7197	93.831	308	1903071, 1872427, 484502, 84485	MF359448, CP051240, AB435641, AB055205	288.99948
ASV_7198	96.117	309	2964002	ON979364	297.00153
ASV_72	99.694	327	7729	AB013016	325.99938
ASV_720	91.916	334	88552	MK368184, MK368167	306.99944
ASV_721	100	330	88552	MK681253, MK681249, MK681248	330
ASV_7210	99.085	328	1864621, 1864612	KU587845, KU587848	324.9988
ASV_7212	92.284	324	324873, 746505	MG660999, KR048725, MN784587, GU969179, GU594643	299.00016
ASV_7213	94.562	331	2511779	MK547174	313.00022
ASV_7214	98.494	332	151027	KY979984	327.00008
ASV_7215	98.773	326	195967	KY980091	321.99998
ASV_7217	98.788	330	2575364, 88552, 230419, 314250	PP905707, PP905696, MK358945, MK358942, MK358941, MK358932, JN998213, AY775284	326.0004
ASV_722	99.695	328	1982032	KY980283	326.9996
ASV_7226	98.333	300	230412	MW255637	294.999
ASV_7227	96.573	321	1302792, 1323129, 220648	MF049052, MF049051, MF049050, MF049049	309.99933
ASV_7228	97.289	332	151027	KY979984	322.99948
ASV_7238	98.489	331	232288	KY980049, AJ564773	325.99859
ASV_7239	99.396	331	1960768, 1629872	KY320349, KJ961710	329.00076
ASV_724	99.39	328	1051737	HQ026773	325.9992
ASV_7240	98.182	330	2737757	MT489366	324.0006
ASV_7241	99.091	330	88552	MK358945, MK358942, MK358941, MK358932	327.0003
ASV_725	95.122	328	1654606, 2909459, 1132520	KP749831, OP445725, JN934989	312.00016
ASV_7251	90.52	327	1234425	JQ918370, JQ918369	296.0004
ASV_7252	94.328	335	1804151	KU728177, KU728176, KU728175, KU728174	315.9988
ASV_7253	89.053	338	3040557	OQ803226, OQ803225	300.99914
ASV_7254	99.398	332	741090	GQ144681	330.00136
ASV_7255	99.388	327	7725	OZ123513	324.99876
ASV_7257	97.84	324	1851737	AB979871	317.0016
ASV_7258	91.692	325	3120117	PP326845	297.999
ASV_7259	94.412	340	2651821	ON792583	321.0008
ASV_726	89.728	331	1043735	HM536154	296.99968
ASV_7260	97.872	329	2592189, 143670, 2303294, 2303293	MN121042, PQ645478, MH764679, MH764678	321.99888
ASV_7261	96.657	329	2200922, 261845	OR921540, AB181902	318.00153
ASV_7262	94.562	331	360534	DQ299973	313.00022
ASV_7263	97.264	329	160611	HQ845331, AF274276	319.99856
ASV_7265	91.185	329	88552, 89963	PP905704, KY980309, KY980290, KY980274	299.99865
ASV_7266	98.788	330	2837575, 1294207, 230420	LC632602, JX173252, AY208894	326.0004
ASV_7267	99.693	326	2919510;2919511, 2919509	LC683683, LC683682	324.99918
ASV_7268	93.293	328	2863858	MZ663830, MZ663823	306.00104
ASV_7269	90.184	326	1348417	KC753499	293.99984
ASV_727	99.388	327	60595	OR921514	324.99876
ASV_7271	97.546	326	696961	KY980056, KY980032, KY980030, KY979987	317.99996
ASV_7272	97.697	304	2912879	OM415986	296.99888
ASV_7273	97.115	312	655474	KY980228, KY980159	302.9988
ASV_7274	96.646	328	447210	OQ162335	316.99888
ASV_7275	96.037	328	1045413, 1045407	JF903605, JF903596	315.00136
ASV_7276	93.939	330	1923967, 420281, 216777	KX253955, EF192984, AY485525	309.9987
ASV_7277	93.538	325	41875, 2812571, 3126173	MT571465, MT117942, PP409568, PP409567, CP146933, OZ075445, OZ076297, OZ076275, OZ076253, OZ076210, OZ076189, OZ076168, OZ076147, OZ076125, XR_002608757, XR_002608756, LC779579, KT878714, KT860937, KT860936, KT860601, KT860599, KT860598, KT860597, KT860596, KT860594, KT860593, KT860592, KF501036, JX625115, FO082268, JF794058, FN562453, AY425315	303.9985
ASV_7278	92.582	337	2651821	ON792583	312.00134
ASV_7279	93.333	330	3036234	OQ702873, OQ702872	307.9989
ASV_728	100	330	2837575, 1294207, 230420	LC632602, JX173252, AY208894	330
ASV_7280	94.88	332	1923967, 420281, 216777	KX253955, EF192984, AY485525	315.0016
ASV_7281	97.067	341	3032086	OQ586162	330.99847
ASV_7282	98.48	329	3329432	LC788754, LC788753	323.9992
ASV_7283	98.125	320	947086	HQ891113, HQ876008	314
ASV_7284	98.466	326	195967	KY980091	320.99916
ASV_7285	91.592	333	49240	KX253958	305.00136
ASV_7286	93.827	324	1974332, 1173374	KY864169, JQ723984	303.99948
ASV_7287	86.589	343	3061869	PP905717	297.00027
ASV_7288	88.485	330	2066531, 715450, 393035	MG727703, GU206560, DQ662848	292.0005
ASV_7289	95.732	328	3061869	PP905717	314.00096
ASV_729	99.394	330	515487, 2805724	KY980041, MW521830	328.0002
ASV_7290	93.921	329	66473	JF791053, JF791029	309.00009
ASV_7291	99.383	324	136184, 148993, 184761, 2056978, 119372, 746506	MG661071, MG661070, MG661069, MG661068, MG661067, MG661066, MG661065, MG661063, MG661061, MG661060, MG661059, MG661058, MG661057, MG661053, MG661052, MG660873, MG660872, MG660871, JX995322, JX995319, MN784616, GU594644	322.00092
ASV_7292	87.651	332	1335110	KC309530	291.00132
ASV_7293	92.063	315	361427	DQ303924	289.99845
ASV_7294	96.676	361	1896767	KX160006	349.00036
ASV_7295	97.885	331	135473	AB178868	323.99935
ASV_7296	99.08	326	3068912	OR427353	323.0008
ASV_7297	91.265	332	1453980	KF791347	302.9998
ASV_7298	96.353	329	160623, 1918384	KY980180, OR921489, OR921487, OR921485, OR921484	317.00137
ASV_7299	91.515	330	2555684, 420782, 2107305, 216921	LC466960, MK795713, MK795708, MG972267, MG972266, MG972265, MG972264, MG972263, KF925340, AJ535167	301.9995
ASV_73	100	326, 304, 300	714611, 714610, 714608, 714605, 714603, 492768, 397560, 1037239	GU179383, GU179382, GU179381, GU179378, GU179373, GU179372, EU418857, DQ790082, MK844704, MK844725, MK844706, MK844705	326, 304, 300
ASV_730	90.964	332	1127213, 1128107, 1127215, 703033	JN811186, JN811185, JN811183, JN811180, JN811178, JN811177, GU246574	302.00048
ASV_7300	94.242	330	2555684, 420782, 2107305, 426624, 216921	LC466960, MK795713, MK795708, PQ645483, MG972267, MG972266, MG972265, MG972264, MG972263, MG972211, KF925340, AJ535167	310.9986
ASV_7301	97.222	324	2099354	MG979344, MG979343	314.99928
ASV_7302	97.273	330	88552	MK367912	321.0009
ASV_7303	94.512	328	2651332, 2116662, 2750815	MN524588, MH051840, PP564884, MT739409	309.99936
ASV_7304	96.667	330	89963, 244960, 60595, 244961	KY980119, KY980086, KY980078, OR921524, OR921523, OR921522, OR921521, OR921520, OQ162330, AB120001, AB120002	319.0011
ASV_7305	98.176	329	1798950	KY980223, KY980179	322.99904
ASV_7306	99.702	336	2651821	MT334506	334.99872
ASV_7307	96.657	329	2920, 2039876, 2684369	KU900227, OP968025, MN821565	318.00153
ASV_7308	89.521	334	2037922	LC322144	299.00014
ASV_7309	90.606	330	2588357	OK381878	298.9998
ASV_731	96.677	331	232288	KY980049, AJ564773	320.00087
ASV_7310	87.278	338	715980	GQ426582, GQ426581	294.99964
ASV_7311	96.19	315	77931	KY980217, AJ421146	302.9985
ASV_7312	81.609	348	33092	NC_025531, HE610163	283.99932
ASV_7313	96	300	1918384	OR921502, OR921501	288
ASV_7314	97.305	334	877583	KY980273	324.9987
ASV_7315	100	330	1960768, 1629872	KY320349, KJ961710	330
ASV_7316	92.604	338	1979794, 2109572	MG775588, LC375249	313.00152
ASV_7317	92.378	328	2863858	MZ663830, MZ663823	302.99984
ASV_7318	94.207	328	1982032, 2805729	KY980278, KY980267, KY980255, KY980037, KY980019, KY980017, KY980005, MW521835	308.99896
ASV_7319	94.817	328	3061869	PP905717	310.99976
ASV_732	99.387	326	98217	AJ246273	324.00162
ASV_7320	96.657	329	2898045	OL630092	318.00153
ASV_7321	94.154	325	324873, 746505	MG660999, KR048725, MN784587, GU969179, GU594643	306.0005
ASV_7322	92.638	326	324873, 746505	MG660999, KR048725, MN784587, GU969179, GU594643	301.99988
ASV_7323	93.902	328	2863858	MZ663830, MZ663823	307.99856
ASV_7324	99.088	329	88552	MK367881	325.99952
ASV_7325	94.833	329	237470, 2945, 1226012, 1764932, 72677	MK547125, MK547124, MK547123, MK405477, MK995624, MK541788, MK541787, MK541786, MK541781, OR397931, OR381783, KP711341, KT860948, MW979841, MW979840, OL982605, OL982546, OL966939, OL966938, OL966937, OL966935, JQ390504, MT521867, JN717145, EU780638, EU287485, EF492511, EF492510, AY585526, AY803739, AJ415519	312.00057
ASV_7326	96.988	332	151027	AF290540	322.00016
ASV_7327	96.073	331	627966	FJ799794	318.00163
ASV_7328	96.646	328	1004399	FJ870074	316.99888
ASV_7329	94.242	330	2555684, 420782, 2107305, 216921	LC466960, MK795713, MK795708, MG972267, MG972266, MG972265, MG972264, MG972263, KF925340, AJ535167	310.9986
ASV_733	99.091	330	2795197	MW344841, MW344840, MW344838	327.0003
ASV_7330	100	328	2878105	LT603002	328
ASV_7331	99.694	327	181653	AY302563, AF399154, AF399153, AF399152	325.99938
ASV_7332	93.313	329	89963, 244960, 60595, 244961	KY980119, KY980086, KY980078, OR921524, OR921523, OR921522, OR921521, OR921520, OQ162330, AB120001, AB120002	306.99977
ASV_7333	90.909	352	1524168	AB973525	319.99968
ASV_7334	88.554	332	151027	AF290540	293.99928
ASV_7335	95.195	333	361426	DQ303923, DQ303922	316.99935
ASV_7336	99.695	328	1079765	HQ228948	326.9996
ASV_7337	97.576	330	2925399, 172824	OM966641, AY050182	322.0008
ASV_7338	98.193	332	39717	KX927963, KX927962	326.00076
ASV_7339	98.813	337	2651821	MT334509	332.99981
ASV_734	100	327	2663276, 2663269, 2663268, 2663287, 2663286, 2663283, 190468, 937804, 1421824, 1421823, 1421826, 516002, 394744	MN217509, MN217506, MN217505, MN217494, MN217493, MN217491, OQ703011, KF511828, KF511827, KF511826, KF511825, KF511824, KF511823, KF511822, KF511821, KF511818, HM746735, EU418854, DQ790085, DQ779641, AY176296, AY340439	327
ASV_7340	96.346	301	2026621	MH008157	290.00146
ASV_7341	91.566	332	41120	L37037	303.99912
ASV_7342	93.636	330	2511779	MK547174	308.9988
ASV_7343	97.605	334	629764	FJ824130	326.0007
ASV_7344	97.69	303	1955568	MN795593	296.0007
ASV_7346	99.694	327	763142	U08322	325.99938
ASV_7347	93.884	327	505693	JN986791, JN986789, JN935834, JN935832, JN935830, JN935829, EU099916, EU099914, EU099912, EU099909, EU099906, EU099900, DQ174731	307.00068
ASV_7348	92.216	334	88552	MK368330	308.00144
ASV_7349	96.33	327	434030	EF158848, EF158847	314.9991
ASV_735	100	329	1918384	OR921467	329
ASV_7350	95.166	331	1804151	KU728177, KU728176, KU728175, KU728174	314.99946
ASV_7351	90.274	329	95749	AB716689	297.00146
ASV_7352	99.39	328	1079765	HQ228948	325.9992
ASV_7353	91.291	333	2109572	LC375249	303.99903
ASV_7354	94.294	333	88552	MK368198	313.99902
ASV_7356	96.646	328	407301, 225107	JF791048, JF791046, JF791045, JF791044, JF791040, JF791035	316.99888
ASV_7357	95.385	325	2604950, 195969	MN056948, MN056947, FN562449	310.00125
ASV_7358	97.872	329	88552	MK368187	321.99888
ASV_7359	96.988	332	2546683	MK635504	322.00016
ASV_736	95.066	304	1928008	MK835027	289.00064
ASV_7360	91.743	327	2678340	MG581969	299.99961
ASV_7361	98.165	327	1864614	KU587849	320.99955
ASV_7362	97.885	331	629762	FJ824128	323.99935
ASV_7363	95.495	333	361426	DQ303923, DQ303922	317.99835
ASV_7364	99.083	327	156175, 462884	AB058357, AM779755	324.00141
ASV_7365	97.853	326	46462	U51554	319.00078
ASV_7366	96.375	331	232288	KY980049, AJ564773	319.00125
ASV_7367	96.061	330	278112	AB178865	317.0013
ASV_7368	98.338	361	1896767	KX160006	355.00018
ASV_7369	96.084	332	629754	FJ824123	318.99888
ASV_737	99.697	330	230419	AY208893	329.0001
ASV_7370	98.788	330	88552	MK368167	326.0004
ASV_7371	98.452	323	2161682, 6116, 2760912, 2777157, 2760912;2777157, 396345, 1147133, 396347, 86610	KY815047, OX459095, KJ483035, MT895454, MT895453, MT895452, MT895451, MT895450, MT895448, MT895447, MT895446, MT895445, MT895443, MT895442, MT895441, MT895440, MT895439, MT895438, MT895437, MT895436, MT895435, MT895434, MT895433, MT895432, MT895431, MT895430, MT895428, MT895427, MT895426, MT895425, MT895424, MT895423, MT895422, MT895421, MT895420, MT889303, JF832989, JF832988, MT007110, MT007109, FJ489440, AF052889	317.99996
ASV_7372	93.072	332	2037922	LC322144	308.99904
ASV_7373	96.835	316	1923967, 420281, 216777	KX253955, EF192984, AY485525	305.9986
ASV_7374	99.091	330	49240, 1390974	OK147660, AB847415	327.0003
ASV_7375	88.411	302	2485823	MH281629	267.00122
ASV_7376	96.636	327	418946	KF422621, AM490987	315.99972
ASV_7377	98.48	329	413064	AB284159	323.9992
ASV_7378	99.333	300	67781	FN563101	297.999
ASV_7379	95.719	327	98070	AF123302	313.00113
ASV_738	99.693	326	3075330, 1037237	PQ164811, PQ164796, PQ164789, PQ164776, PQ164701, PQ164591, PQ164530, OR159893, OR557389, OR557387, OR557388, OR557385	324.99918
ASV_7380	95.706	326	1654606, 1132520	KP749831, JN934989	312.00156
ASV_7381	92.169	332	41120	L37037	306.00108
ASV_7382	89.124	331	1321401	JX535351	295.00044
ASV_7383	87.622	307	1453980	KF791348	268.99954
ASV_7384	98.187	331	627966	FJ799794	324.99897
ASV_7385	97.538	325	2748289, 524900	OP196326, EU503539	316.9985
ASV_7386	98.471	327	38836	AB017127, AJ010407	322.00017
ASV_7387	97.281	331	120299	AF239260	322.00011
ASV_7388	99.088	329	89963, 342588	KY980409, KY980406, OQ680141	325.99952
ASV_7389	94.702	302	49252	FJ002159	286.00004
ASV_739	99.695	328	44056	KY980308, KY980028, KY979999, KT585674, JQ420084, JQ420082, JQ420081, JQ420080, JQ420079, JQ420078, JQ420077, HQ710572, AF117778, AF117776, AF117777	326.9996
ASV_7390	97.248	327	464989	MK828403, KY980338, MW451605, AM901354	318.00096
ASV_7391	88.589	333	985833	HQ121434	295.00137
ASV_7392	98.48	329	1982032	KY980042	323.9992
ASV_7393	96.37	303	37099, 1321669, 2903, 1663125	NC_049168, NC_040291, ON844104, ON844102, NC_063783, OL703605, OL703601, OL703600, OL703597, OL703592, OL703591, OL691557, OL691556, X82156	292.0011
ASV_7394	90.429	303	48412	AJ133796	273.99987
ASV_7395	96.44	309	2964002	ON979364	297.9996
ASV_7396	98.485	330	763493	AB558956	325.0005
ASV_7397	99.676	309	2026735	MT084045, MT084044	307.99884
ASV_7398	97.892	332	1982022	KY980258	325.00144
ASV_7399	99.029	309	467091	OR999622, OR675252	305.99961
ASV_74	98.784	329	2920, 2039876, 2684369	KU900227, OP968025, MN821565	324.99936
ASV_740	100	330	49240, 1034814	OK147661, FR865486	330
ASV_7400	98.171	328	1010439	JF488784	322.00088
ASV_7403	89.254	335	3229849	PP951431	299.0009
ASV_741	90.332	331	87103	OQ514333, OQ514332	298.99892
ASV_7416	99.392	329	89963, 244960, 60595, 244961	KY980119, KY980086, KY980078, OR921524, OR921523, OR921522, OR921521, OR921520, OQ162330, AB120001, AB120002	326.99968
ASV_743	96.061	330	88552	MK367895	317.0013
ASV_7432	99.696	329	1982032	KY980042	327.99984
ASV_7433	93.958	331	1398087, 163516	KC814809, JX413558	311.00098
ASV_7434	89.602	327	1170556	JN867021	292.99854
ASV_7435	91.354	347	1562708, 52901, 366433	KP857142, KP857141, KP857139, KP857137, KP857136, KP857134, KP857131, KP857126, KP857124, KP857123, KP857122, KP857119, KM519822, KM519820, KM519818, KM519815, DQ351894	316.99838
ASV_7436	97.239	326	2022002	MF527277	316.99914
ASV_7437	97.281	331	232288	KY980049, AJ564773	322.00011
ASV_7438	99.08	326	223573	HM236338, AY212807	323.0008
ASV_7439	99.355	310	2613842, 2448046	MK163915, OQ055055	308.0005
ASV_744	97.273	330	1035524	JF794054	321.0009
ASV_7440	99.375	320	947086	HQ876008	318
ASV_7441	97.256	328	407301, 225107	JF791048, JF791046, JF791045, JF791044, JF791040, JF791035	318.99968
ASV_7442	99.695	328	2748896	MT677910	326.9996
ASV_7443	99.697	330	2976774	LC662742	329.0001
ASV_7444	95.181	332	39717	KX927963, KX927962	316.00092
ASV_7445	98.182	330	1798950	KY980223, KY980179	324.0006
ASV_7446	99.692	325	1108076, 1469148, 1469147, 1469146	HQ591486, HQ591485, HQ591484, HQ591483, HQ591482, HQ591481, HQ591480, HQ591479, HQ591478, HQ591477, HQ591476, HQ591475, HQ591474, HQ591473, HQ591472, HQ591471, HQ591468, HQ591470, HQ591469	323.999
ASV_7447	87.5	336	2605655	MN381955	294
ASV_7448	96.341	328	407301, 225107	JF791048, JF791046, JF791045, JF791044, JF791040, JF791035	315.99848
ASV_7449	92.56	336	629760	FJ824131	311.0016
ASV_7450	98.457	324	296587, 38833, 1907928, 1570327	MT117943, KY980374, KY980365, KY980282, LC806249, LC806245, LC806243, LC806242, KX523155, KU244669, KU244663, KU244659, KU244653, KU244645, KU244641, KU244638, KU244632, KU612123, KT860888, KT860879, KP899802, OQ436457, OQ428650, KR089059, KJ010081, OM521954, KF501035, KF501030, KF501024, KF501019, JF791090, HM191693, CP001575, AB183589, AY955010, AY955011, AY954998, AY955008, AY955007, AY955006, AY955002, AY955001, AY954997, AY954993	319.00068
ASV_7451	100	327	38836	KY980323	327
ASV_7452	98.176	329	88552	MK368364	322.99904
ASV_7453	98.726	314	1982032	KY980278, KY980267, KY980255, KY980005	309.99964
ASV_7454	93.393	333	39717	KX927963, KX927962	310.99869
ASV_7456	99.08	326	407208	DQ980478	323.0008
ASV_7459	89.157	332	891395, 1661264	LC027047, LC027046, LC027045, LC027044, LC027036, LC027035, LC027034, AB921304	296.00124
ASV_7461	96.979	331	232288	KY980049, AJ564773	321.00049
ASV_7462	99.394	330	2575364, 88552	PP905707, PP905696	328.0002
ASV_7463	99.383	324	2176022	PP204322	322.00092
ASV_7464	82.44	336	933485	KX011113, AF405547	276.9984
ASV_7468	98.773	326	195967	KY980091	321.99998
ASV_7469	98.784	329	88552	MK368331, MK367895	324.99936
ASV_7470	93.656	331	629760	FJ824131	310.00136
ASV_7471	96.37	303	768463	FN869533	292.0011
ASV_7473	99.071	323	1840506, 1911418, 128131, 168767, 2039479, 1859706;1859708, 27804, 1562391, 1308642, 1308629, 168724, 1193141, 880219	KY610843, KY610842, KY610841, KY610838, KY610809, KY610808, KY610807, KY610805, KY610804, KY212123, KY249594, KT982732, KM280874, KM280873, KM280872, KM279703, KM279702, KM279701, KM279700, KM279684, KM279683, KM279682, KM279681, KM279680, KM279679, KM279678, KM279715, KM279714, KM279713, KM279712, KM279711, KM279710, KM279709, KM279708, OQ845746, OQ842253, OQ842252, JX995327, JX393287, JX393284, JX393281, JX393280, JX393279, HM194820, HM194815, HM194811, AF358099, AF358098	319.99933
ASV_7479	98.182	330	88552	MK368181	324.0006
ASV_748	100	327	1010439	JF488784	327
ASV_7482	96.049	329	1486463, 2611280, 2748608	HG970975, LC603171, LC603170, LC599498	316.00121
ASV_7483	100	309	1884585, 1180461, 1180457	MT585860, JQ800175, JQ800161	309
ASV_7484	99.693	326	412156	ON815373, ON815372	324.99918
ASV_7488	98.16	326	2611346, 429456	ON888458, OM688897, EF432538	320.0016
ASV_7489	97.859	327	156175, 462884	AB058357, AM779755	319.99893
ASV_749	99.088	329	88552	MK368327, MK367912	325.99952
ASV_7490	97.239	326	2682161, 2992, 703082	MN782175, MN782174, KM590602, KM590601, KM590600, KM590599, GU325513	316.99914
ASV_7492	97.892	332	151027	KY979984	325.00144
ASV_7493	98.176	329	88552	MK367913	322.99904
ASV_7495	94.88	332	361426	DQ303923, DQ303922	315.0016
ASV_75	100	328	2737759, 2737758, 2856, 2854, 1034816, 582755	MT489381, MT489377, MH166733, PQ645492, KY980122, MG022764, KY045848, OR922717, KX981848, KX981847, LC787636, OR286793, OM891869, ON942238, OK147662, OK483377, MW750335, FR865492, MN943995, HQ912645, GQ468546, GQ468544, GQ468542, GQ468541, GQ468540, GQ468539, GQ468538, GQ468536, GQ468535, GQ468534, GQ468533, GQ468532, GQ468531, FJ546711, DQ178392, DQ082741, DQ082739, DQ082738, DQ019446	328
ASV_750	98.476	328	672125, 370103	FJ821481, DQ367048	323.00128
ASV_7501	91.818	330	1407743	AF274256	302.9994
ASV_7502	96.97	330	189333	HM483394, AF472554	320.001
ASV_7503	99.698	331	659878, 2593073, 2592187, 2592186, 265540, 2315412, 349456, 631387	MN528649, MN528648, MN528646, MN528645, MN528641, MN528640, MN528639, MN528638, MN528637, MN528636, MN528635, MN528634, MN528633, MN528632, MN528631, MN528630, MN528629, MN528628, MN528627, MN528624, MN121051, MN121049, PQ645533, PQ645530, PQ645489, PQ587455, MH843670, MH843669, OR922671, KY912618, KY912617, KY912616, LC779583, OL851894, MN179316, HQ912563, FJ590771, FJ590770, FJ590769, FJ590768, DQ514872, AY485472, DQ093363	330.00038
ASV_7504	81.518	303	1848509	KU291885	246.99954
ASV_7505	98.176	329	91992	KY980405	322.99904
ASV_7506	99	300	243198	JN207219	297
ASV_7507	91.892	333	3086144, 1905723, 2945, 39450, 237470	OR921494, OR921493, OR921492, OR921491, PP329872, PP329871, PP329868, ON146464, EF492512, AY443019	306.00036
ASV_7508	98.784	329	2591690, 160602, 2820086, 106539, 2684370, 407301, 160612, 66473	MH497027, ON015053, MZ475030, MZ475047, MW784601, MW784600, MW267276, KF446619, JX262492, MN821569, JF791096, AF274270, AF022201	324.99936
ASV_751	96.375	331	151027	AF290540	319.00125
ASV_7512	88.65	326	1003325	HM140400	288.999
ASV_7514	95.625	320	2057238, 2994701, 1230019	MG603625, OP828547, JX910452, JX025169	306
ASV_7517	99.088	329	89963	KY980322	325.99952
ASV_752	99.692	325	1607872	KJ609050	323.999
ASV_7525	98.684	304	1547167, 1871186	KM031090, MZ768691	299.99936
ASV_7526	100	307	2026735	OQ808218, OQ808206, OQ808176, OQ808143, OQ808135, OQ808133, OQ807843	307
ASV_7527	96.078	306	2614934, 1922226, 1872568, 444440, 2964010, 2813037, 888421, 284834	LR722756, LT703003, KY885190, KY885189, OR999642, OR675258, OR673973, ON979372, OQ055136, ON615206, ON615205, MT406706, MT406704, MT406703, MT406559, FR693326, NR_042626, AY654755	293.99868
ASV_7528	100	303	936963, 53948	HQ607541, U73722	303
ASV_753	98.131	321	1242244	FJ876963	315.00051
ASV_754	99.088	329	1486022, 2746694	KR362890, KR362889, MT644699, MT644698, MT644697	325.99952
ASV_7540	91.916	334	1562322, 2315904	LC006124, MH886394	306.99944
ASV_7541	93.958	331	2316437	MZ923438	311.00098
ASV_7542	96.657	329	261845	AB181902	318.00153
ASV_7543	99.693	326	535939	AJ966485	324.99918
ASV_7544	94.26	331	88552	MK368198	312.0006
ASV_7545	97.006	334	151027	KY979984	324.00004
ASV_7546	87.311	331	2744124	MT606017	288.99941
ASV_7547	99.385	325	1543968, 1157983, 1157970, 156102;156103;156104	AB701517, AB701511, AB701509, AB058349	323.00125
ASV_7548	85.526	304	6523	EF489345	259.99904
ASV_755	98.48	329	261845	AB181902	323.9992
ASV_7550	89.157	332	663693, 627967, 627964, 627968	GQ354272, FJ799798, FJ799796, FJ799795	296.00124
ASV_7551	96.049	329	261845	AB181902	316.00121
ASV_7552	93.939	330	2590415, 2291467, 640130, 407301	MG365892, MG365891, OP445669, FN357291, AF274262	309.9987
ASV_7553	87.988	333	1483711	KJ150290	293.00004
ASV_7554	98.471	327	324623	LT993784	322.00017
ASV_7555	95.385	325	655474, 1719758, 1434982	KY980228, KY980159, KT730064, KU525746	310.00125
ASV_7557	95.745	329	88552	MK368364	315.00105
ASV_7558	95.732	328	3069588	OR438988	314.00096
ASV_7559	88.358	335	1367441	KC779515	295.9993
ASV_756	100	328	156128, 41886	PQ587458, OR922706, OR922669, JN934688, AY425306, AB158376, AB058391, X75565	328
ASV_7560	95.639	321	2570296, 1891244, 1891239, 1967943	MK799839, KU715776, KU715768, JN831851	307.00119
ASV_7561	95.796	333	2555684, 420782, 2107305, 216921	LC466960, MK795713, MK795708, MG972267, MG972266, MG972265, MG972264, MG972263, KF925340, AJ535167	319.00068
ASV_7562	97.853	326	46462	U51554	319.00078
ASV_7563	92.308	325	284967	AB183628	300.001
ASV_7564	94.529	329	1982030	KY980399	311.00041
ASV_7565	100	326	876145	MT166861, PQ270485	326
ASV_7566	96.491	342	2795626	MN382127	329.99922
ASV_7567	86.997	323	1297756	FJ870070	281.00031
ASV_7568	83.24	358	445959	EF405665	297.9992
ASV_757	94.684	301	1453980	KF791347	284.99884
ASV_7571	95.745	329	160623, 1918384	KY980180, OR921489, OR921487, OR921485, OR921484	315.00105
ASV_7572	97.368	304	2912879	OM415986	295.99872
ASV_7573	99.711	346	1562708, 52901, 366433	KP857142, KP857141, KP857139, KP857137, KP857136, KP857134, KP857131, KP857126, KP857124, KP857123, KP857122, KP857119, KM519822, KM519820, KM519818, KM519815, DQ351894	345.00006
ASV_7574	98.48	329	89963	KY980322	323.9992
ASV_7575	96.774	341	3032086	OQ586162	329.99934
ASV_7576	99.693	326	3158010, 2041974, 278976, 1986217, 2705381, 458503, 1342701, 1342547, 118321, 1336913, 942677, 1342708, 1342635;1342636, 1336828, 698789, 554634	PP851944, PP851943, KX866794, KY947256, KY947254, KX894478, MT022489, KC902348, KC902219, KC902215, KC902097, KC902064, KC902050, KC901942, KC901893, KC901911, HE591468, AB453832, AJ704975	324.99918
ASV_7577	95.38	303	2231145, 2611340	MF093065, OR251919	289.0014
